title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source
A systematic framework for multidimensional assessment of wake-induced performance heterogeneity in offshore wind farms,https://www.sciencedirect.com/science/article/pii/S0306261926011578?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-25 00:00:00+00:00,,Shen Li,,,
Scalable high resolution ancestry deconvolution for genomic data,https://www.nature.com/articles/s41467-026-75391-0,,Nature Communications,2026-07-25 00:00:00+00:00,10.1038/s41467-026-75391-0,Alexander G. Ioannidis,,"As genome-wide association studies and genetic risk prediction models extend to globally diverse and admixed biobanks, accurate, scalable ancestry deconvolution, also called local ancestry inference (LAI), has become crucial. LAI assigns ancestry to each genomic segment within an individual, enabling studies of population history and ancestry-associated haplotypic effects. Existing LAI methods scale poorly to biobank-scale data, to the distant past, and to large numbers of ancestries. Here, we introduce several independent LAI methods implemented in the Gnomix software suite, achieving higher accuracy and faster computational performance than all existing approaches and with portable models that can be shared without exposing individual-level training data. Gnomix is paired with Gnofix, a swift, scalable phase correction counterpart. We demonstrate performance on worldwide whole-genome data from humans and canids, leveraging high-resolution accuracy to localise ancient New World haplotypes in the Xoloitzcuintli, dating back over 100 generations. Code is available at https://github.com/AI-sandbox/gnomix.",nature_html
Bi-directional charging of electric vehicles for sustainable energy management with distributed solar generation,https://www.sciencedirect.com/science/article/pii/S0306261926011347?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-25 00:00:00+00:00,,Washington Ochieng,,,
Neural dynamics for working memory and evidence integration during olfactory navigation in Drosophila,https://www.nature.com/articles/s41467-026-75945-2,,Nature Communications,2026-07-25 00:00:00+00:00,10.1038/s41467-026-75945-2,Katherine I. Nagel,,"Working memory and evidence integration are fundamental components of cognition. Theoretical and behavioral studies argue that both processes are required for plume navigation, a behavior in which animals use stochastic sensory cues to navigate towards an odor source. Here we identify a small population of local neurons in the navigation center of Drosophila that exhibits both theorized processes. During virtual plume navigation, a bump of activity in this population ramps up with successive odor encounters, and can persist for variable intervals after odor loss. While the bump persists, the fly maintains the goal heading it adopted during odor. Silencing these neurons impairs this persistence. Simulations show that the time constant of persistence observed in these neurons optimizes navigation in a turbulent boundary layer plume. Our work localizes working memory and evidence integration to a specific group of neurons, which will facilitate the mechanistic dissection of these building blocks of cognition.",nature_html
Electrically driven inverse metamagnetic transition in Sm1-xSrxMnO₃,https://www.nature.com/articles/s41467-026-75886-w,,Nature Communications,2026-07-25 00:00:00+00:00,10.1038/s41467-026-75886-w,Bhagwati Prasad,,"Electrical control of magnetic order remains one of the fundamental pursuits in condensed matter physics and spintronics, offering transformative potential for energy-efficient, high-density information technologies. While current-induced switching via spin-transfer and spin-orbit torques is well established in ferromagnets, electrically driving a transition between distinct magnetic phases, specifically from a ferromagnetic to an antiferromagnetic state, remains largely unexplored experimentally. Here, we demonstrate a reversible, electrically-driven inverse metamagnetic transition in an epitaxial thin film of the correlated manganite Sm1-xSrxMnO₃. Above a critical current threshold, the system abruptly switches from a low-resistance ferromagnetic state to a high-resistance antiferromagnetic-like phase. We exploit this phenomenon in nanoscale (250 × 250 nm²) spin-filter tunnel junctions based on LaNiO₃/Sm₀.₇₅Sr₀.₂₅MnO₃/ SrTiO₃/La₀.₇Sr₀.₃MnO₃ heterostructures, realizing robust, bistable resistance switching with unconventional magnetoresistance exceeding 200 %, tunable by current, temperature, and magnetic field. These findings open a phase-transition-based route for electrically driven spintronic devices beyond conventional torque-based strategies.",nature_html
Load-invariant and real-time diagnostic for PEMFC via electrochemical-magnetic integration,https://www.sciencedirect.com/science/article/pii/S0306261926010652?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-25 00:00:00+00:00,,Z.Y. Hu,,,
Finding the perfect promoter for Cas9 in homing gene drives using single cell transcriptome data,https://www.nature.com/articles/s41467-026-76107-0,,Nature Communications,2026-07-25 00:00:00+00:00,10.1038/s41467-026-76107-0,Jackson Champer,,"Gene drive can modify or suppress vector populations by spreading drive alleles. In CRISPR homing drives, regulating Cas9 expression has been effective for improving drive performance, but selecting suitable promoters is often a major challenge. Here, we evaluate 35 Cas9 constructs with distinct promoters in Drosophila melanogaster and identify associations between drive performance and single-cell RNA expression patterns of the promoter-associated genes. Our results indicate that higher drive conversion is associated with elevated expression of the promoter-associated gene in reproductive cells, but embryo resistance allele formation correlates with excessive female germline expression. For males, early germline expression produces superior performance. Thus, optimal drive performance requires restricting Cas9 expression to a tight quantitative and spatiotemporal window. Additionally, we find that an in situ construct significantly reduces potentially harmful somatic expression. Based on these results, we propose criteria for selecting promoters, providing a rationale and guidance for optimization of homing gene drives.",nature_html
An LLM-driven adaptive scheduling framework for fuel cell cogeneration-based integrated energy systems under source-load uncertainty,https://www.sciencedirect.com/science/article/pii/S0306261926010731?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-25 00:00:00+00:00,,Li Sun,,,
"More demand, lower system costs? The flexibility value of shared autonomous electric vehicles for energy systems",https://www.sciencedirect.com/science/article/pii/S0306261926011438?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-25 00:00:00+00:00,,Maximilian J. Blaschke,,,
"Decarbonizing transportation with intelligent transportation systems: a systematic review of mechanisms, constraints and deployment pathways",https://www.sciencedirect.com/science/article/pii/S0306261926011499?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-25 00:00:00+00:00,,Wen-Long Shang,,,
