title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source
When diversification fails: Geopolitical contagion and hidden vulnerabilities in Europe’s energy transition,https://www.sciencedirect.com/science/article/pii/S0301421526004544?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-08-01 00:00:00+00:00,,Jules Sadefo Kamdem,,,
High-frequency intraday trading for battery storages,https://www.sciencedirect.com/science/article/pii/S0306261926012067?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-01 00:00:00+00:00,,Thorsten Staake,,,
NATTrek: A network-aware trajectory gamified visual framework for cooperative EV fleet charging under feeder constraints,https://www.sciencedirect.com/science/article/pii/S0306261926011827?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-01 00:00:00+00:00,,Yonghan Ahn,,,
Evaluation of dual-tower optical efficiency limit for guiding the design of solar power tower systems,https://www.sciencedirect.com/science/article/pii/S0306261926012018?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-01 00:00:00+00:00,,Ya-Ling He,,,
Underground bio-methanation of hydrogen and carbon dioxide in depleted gas reservoirs: Thermo-hydro-bio coupled modeling,https://www.sciencedirect.com/science/article/pii/S0306261926012110?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-01 00:00:00+00:00,,Ru Zhang,,,
Prediction-informed distributional deep reinforcement learning for energy management of fuel cell tracked vehicles: A hybrid control framework,https://www.sciencedirect.com/science/article/pii/S0306261926011906?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-01 00:00:00+00:00,,Hongwen He,,,
Structure-generalizable large models for power system operation under topology uncertainty: A graph-based foundation learning framework,https://www.sciencedirect.com/science/article/pii/S0306261926011359?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-01 00:00:00+00:00,,Da Huo,,,
PVDINO: Extracting photovoltaic panels from high-resolution remote sensing imagery via vision foundation model and dual-stream edge mining,https://www.sciencedirect.com/science/article/pii/S0306261926012274?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-01 00:00:00+00:00,,Deren Li,,,
Data-driven optimization of hybrid EV charging infrastructure: From cross-city demand forecasting to dynamic allocation,https://www.sciencedirect.com/science/article/pii/S0306261926012201?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-01 00:00:00+00:00,,Muhammad Bakr Abdelghany,,,
The impact of solar photovoltaics on the energy-industry transition in the Nordic and Baltic countries,https://www.sciencedirect.com/science/article/pii/S0306261926011311?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-01 00:00:00+00:00,,Christian Breyer,,,
Does energy storage abate carbon?,https://www.sciencedirect.com/science/article/pii/S0306261926011815?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-01 00:00:00+00:00,,Sarah M. Jordaan,,,
Turning current mismatch into advantage: suppressing hysteresis and improving operational stability in two-terminal perovskite/silicon tandem solar cells,https://www.sciencedirect.com/science/article/pii/S0306261926012328?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-01 00:00:00+00:00,,Daniel Walter,,,
A bottom-up energy-economic-environmental-reliability optimization framework for hybrid renewable energy systems in near-zero energy buildings under dynamic load conditions,https://www.sciencedirect.com/science/article/pii/S0306261926011918?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-01 00:00:00+00:00,,Keug-Tae Kim,,,
Integration of photovoltaic energy storage system (PV-ESS) with in-motion charging infrastructure planning and scheduling for e-buses,https://www.sciencedirect.com/science/article/pii/S0306261926012286?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-01 00:00:00+00:00,,N. Nezamuddin,,,
