title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source
Allele-specific chromatin architecture shapes imprinted domains and coordinates a distal enhancer and antisense transcription at the mouse Mest-Copg2 domain,https://www.nature.com/articles/s41467-026-76506-3,,Nature Communications,2026-08-08 00:00:00+00:00,10.1038/s41467-026-76506-3,Amanda J. Whipple,,"Genomic imprinting results in parent-of-origin-dependent gene expression, but how three-dimensional genome organization contributes to imprinted gene regulation remains unclear. Using Capture Hi-C in mouse cortex and primary cortical neurons, we identified parental allele-specific chromatin architectures across multiple imprinted domains. These architectures largely originate from imprinting control regions and correlate with DNA methylation-sensitive CTCF binding. Active and inactive alleles of imprinted genes show distinct promoter interaction profiles and differential engagement with distal regulatory elements in both contact frequency and the epigenetic state of distal regions. A CRISPR interference screen identified a distal enhancer that regulates Mest-Copg2 imprinted expression through allele-specific chromatin interactions. In neurons, this enhancer activates Copg2 on the maternal allele, whereas on the paternal allele it drives Mest isoforms transcribed antisense to Copg2 and contributes to Copg2 repression. In summary, we show that allele-specific chromatin architecture coordinates maternal enhancer activity and paternal antisense transcription to control imprinted expression in neurons.",nature_html
Stratospheric impacts on Eurasian soil moisture on subseasonal timescales,https://www.nature.com/articles/s41467-026-75786-z,,Nature Communications,2026-08-08 00:00:00+00:00,10.1038/s41467-026-75786-z,Suvarna Fadnavis,,"Sudden stratospheric warming (SSW) events and soil moisture are both key sources of subseasonal-to-seasonal predictability, raising the possibility that SSWs could enhance hydroclimate predictability through soil moisture. Yet this connection remains largely unexplored. Here we show that SSWs induce a robust dipolar soil moisture response across Eurasia, with wetter conditions over the Iberian Peninsula and pronounced drying from the Iranian Plateau to northern India during the two months following SSWs. These responses occur in both surface and root-zone soil moisture and are consistently captured by reanalysis, land surface model simulations, and satellite observations. Enhanced precipitation drives the wet anomalies over Iberia, whereas anomalous near-surface warming drives drying from the Iranian Plateau to northern India. Our findings identify a previously underrecognized pathway linking stratospheric variability to subseasonal Eurasian hydroclimate predictability.",nature_html
Breaking the data scarcity barrier in HVAC fault diagnosis via feature-sample collaborative augmentation,https://www.sciencedirect.com/science/article/pii/S0306261926012638?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-08 00:00:00+00:00,,Afshin Afshari,,,
MRICombo: a deep-learning-based framework for universal volumetric segmentation grading-staging and malignancy detection across heterogeneous MRI,https://www.nature.com/articles/s41467-026-76461-z,,Nature Communications,2026-08-08 00:00:00+00:00,10.1038/s41467-026-76461-z,Tao Tan,,"Comprehensive magnetic resonance imaging (MRI) analysis in oncology involves multiple interrelated tasks including volumetric segmentation, grading, staging, and malignancy detection. However, most existing deep learning models are task-specific or sequence-specific, lacking the generalizability required for heterogeneous sequences. Here we present MRICombo, a unified multi-expert deep learning framework for universal anatomical delineation and tumor characterization across 9 heterogeneous imaging sequences. Developed using 7,380 MRI sequences from 2,354 individuals, MRICombo achieves state-of-the-art performance with mean Dice similarity coefficients of 0.836 for segmenting 14 critical anatomical structures and 0.625 for labeling 11 major tumor types. It also attains a mean area under the receiver operating characteristic curve (AUROC) of 0.920 for glioma grading, bladder and nasopharyngeal cancer staging, and breast and liver tumor malignancy detection. External validation on four independent datasets (1082 sequences from 734 individuals) and transfer learning evaluation (512 individuals) confirm robust cross-protocol generalizability. Furthermore, MRICombo supports flexible inference with missing sequences and offers decision interpretability through sequence clustering and expert contribution analysis. As a unified clinical solution, MRICombo significantly reduces deployment costs and has the potential to streamline diagnostic workflows, supporting more personalized oncology care.",nature_html
Self-Assembled Multilayers Reduce Interfacial Energy Loss in Perovskite Solar Cells,https://www.nature.com/articles/s41467-026-76497-1,,Nature Communications,2026-08-08 00:00:00+00:00,10.1038/s41467-026-76497-1,Qiang Liao,,"The use of self-assembled multilayer (SAM) layers as hole transport layers (HTLs) represents a major advance for high-efficiency perovskite solar cells (PSCs). However, many SAMs materials suffer from aggregation, poor wettability, and weak interactions with the perovskite, which hinder charge transfer and cause energy losses that limit both power conversion efficiency (PCE) and long-term stability. In this study, we synthesized two SAMs, namely 2-(10-(3,5-dimethoxyphenyl)−7H-benzo[c]carbazol-7-yl)ethyl)phosphonic acid (denoted as DMPA) and 2-(7H-benzo[c]carbazol-7-yl)ethyl)phosphonic acid (denoted as BCPA). DMPA SAM effectively suppresses self‑aggregation and enhances substrate coverage. The methoxy groups in DMPA interact with the perovskite, thereby enabling DMPA to passivate defects at the buried interface and optimize perovskite crystallization. These interfacial improvements facilitate more efficient charge extraction and enhance interfacial stability. As a result, DMPA-based PSCs achieve a PCE of 27.59% (certified PCE of 27.2%) and show remarkable photothermal stability, retaining 94.5% of their initial efficiency after 1600 hours of continuous illumination under 1 Sun at 65 °C.",nature_html
Diet-responsive proteogenomic effects following short-term restriction of animal products in humans,https://www.nature.com/articles/s41467-026-76379-6,,Nature Communications,2026-08-08 00:00:00+00:00,10.1038/s41467-026-76379-6,Antigone S. Dimas,,"The effect of diet on genetic regulation in humans remains largely unexplored. Here, we investigate gene-diet interactions in a unique group of healthy individuals (N = 200) who alternate between omnivory and dietary restriction of animal products for religious reasons. Using longitudinal proteomic and genotype data, we identify diet-responsive cis-pQTLs and highlight regulatory effects on LBR and MSRA, proteins involved in cholesterol and methionine metabolism respectively. LBR-associated cis-pQTL rs74148404 colocalizes with obesity exclusively under dietary restriction, suggesting diet-dependent modulation of genetic risk. We also show that a diet-dependent cis-pQTL for metabolic regulator FGF21 colocalizes with eosinophil and platelet traits pointing to diet-sensitive immunometabolic signalling. By parallel profiling of a continuously omnivorous control group (N = 211), we uncover seasonally dynamic genetic regulation for proteins linked to apoptosis in immune system pathways (MAVS, CASP3, PDLIM7, IL12RB1), effects likely masked by animal product restriction. These findings reveal dynamic diet- and season-sensitive regulatory mechanisms with implications for precision nutrition and individualized disease prevention strategies, and underscore the need to integrate environmental context into genetic studies of health and disease.",nature_html
Harnessing multiple home-microgrids as cloud energy storage for resource compensation: A comprehensive review,https://www.sciencedirect.com/science/article/pii/S0306261926012006?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-08 00:00:00+00:00,,Hamidreza Gholinezhadomran,,,
Prospects and challenges: Can co-production of natural gas hydrate with shallow and deep gas achieve “1 + 1 + 1 > 3” in marine gas exploitation?,https://www.sciencedirect.com/science/article/pii/S030626192601202X?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-08 00:00:00+00:00,,Mucong Zi,,,
Assessment of microbial hydrogen technologies over the last decade: is it a future-ready technology?,https://www.sciencedirect.com/science/article/pii/S0306261926011669?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-08 00:00:00+00:00,,Arpita Nandy,,,
High-efficiency GaSb thermophotovoltaic cell demonstrated on a planar heat source up to 1800 K for high-temperature applications,https://www.sciencedirect.com/science/article/pii/S0306261926013061?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-08 00:00:00+00:00,,Liangliang Tang,,,
